,smiles1,smiles2,score,uncertainty
32,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,C1=CC=C(C=C1)CC(C(=O)O)N,0.463608789681701,0.04090473483410274
33,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC1=CC(=CC(=C1)O)O,0.9552211605446125,0.052512152780403054
34,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,CC1=NC=C(CO)C(=C1O)CO,0.3651548428208094,0.07392215595358949
35,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC1=CC(=CC=C1)O,0.9641316613905279,0.042060052747308674
36,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.49384897131443506,0.07097331409906707
37,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.018542353191768134,0.033762761467224206
38,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NS(N)(=O)=O,0.6901912104117381,0.07348442597377067
39,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,CN1C=NC2=C1C(=O)NC(=O)N2C,0.30923234870696975,0.07842086973913875
40,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,C1CNCCN1,0.6978501010994534,0.046376677914026845
41,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)C(O)=O,0.022968176451571898,0.0324978834586821
42,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NC(CO)C(O)=O,0.6065506270657983,0.03866598912531986
43,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,CC(N)C(O)=O,0.7222990200733115,0.040744922239274686
44,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,CN1C(=O)N(C)C2=C(N(CC(O)=O)C=N2)C1=O,0.046774297740219,0.05915621230198687
45,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NC(N)=O,0.7811921502058436,0.054360839965594585
46,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,O=C(O)/C=C\C(=O)O,0.7011352066979385,0.050499139676546796
47,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(=O)CC(O)=O,0.7319514638260709,0.027121213719970134
48,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,C1=CC=C(C=C1)[C@@H](C(=O)O)O,0.6176760257246087,0.035838830606117277
49,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(C(O)=O)c1ccccc1,0.6825114825552901,0.03831918939996741
50,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,C([C@@H](C(=O)O)O)C(=O)O,0.6238579493573223,0.051306465228512906
51,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(CC(O)=O)C(O)=O,0.7137684276329874,0.028500948223192723
52,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,CC(O)C(O)=O,0.689341282434116,0.0651439238324049
53,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NC(CC(O)=O)C(O)=O,0.6066884756040964,0.062285260959876756
54,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(=O)CCC(O)=O,0.699323424321924,0.04183091794253458
