Id,HOMO-8,HOMO-7,HOMO-56,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,LUMO+6,LUMO+7,LUMO+8,color
COc1ccc2ccc3c(OC)ccc4ccc1c2c34,-12.49197576,-12.43747634,-11.73619048,-11.53291831,-11.47071988,-10.49180304,-9.942887697,-8.894426213,-8.765104938,-0.527957135,-0.354723957,0.442650664,0.837100763,1.521224638,2.415253957,3.089047565,3.698162161,3.722754885,0.173233178
C1=CC2=Cc3cccc4cccc(C=C2C=C1)c34,-12.8889726,-12.46500535,-12.31920195,-11.87114544,-11.56357102,-10.43117014,-9.750192016,-9.737939753,-8.854255401,-0.344287116,0.312745073,0.318896929,0.868389235,2.457699559,2.919695127,3.751445172,4.048512934,4.5449905,0.657032189
c1cc2ccc3cc4ccc5ccc6ccc7cc8ccc1c9c2c3c%10c4c5c6c7c%10c89,-13.74298178,-13.6581751,-13.31625832,-13.05361743,-12.37441798,-11.70836013,-11.6494912,-9.37154785,-9.018216697,0.554640903,0.611352637,2.876488812,3.959788764,4.283808565,4.832485034,5.078504151,5.167224646,5.31655599,0.056711734
c1cc2cccc3c4ccc5c6cccc7cccc(c8ccc(c(c1)c23)c4c58)c67,-13.00279296,-12.66417995,-11.88877782,-11.85775395,-11.53631028,-10.53489543,-10.5142349,-9.606600934,-8.594216373,-0.490119913,-0.198612341,0.721854524,0.947418903,2.173795445,2.973602878,3.235762349,3.287042515,3.465718286,0.291507572
c1cc2cc3ccc4cc5ccc6ccc7cc8ccc9cc%10ccc1c%11c%10c%12c9c8c%13c7c6c5c%14c4c3c(c2%11)c%12c%13%14,-12.75841654,-12.58327607,-12.53402447,-12.01186639,-11.83374554,-10.02291695,-9.972820115,-9.774299648,-8.920419091,-0.026547794,0.065028132,0.091531827,0.376615597,1.444282339,2.391914389,2.452731035,3.639807727,4.122801924,0.091575926
c1cc2cccc3c4ccc5c6ccc7c8cccc9cccc(c%10ccc(c%11ccc(c(c1)c23)c4c5%11)c6c7%10)c89,-12.06940131,-11.77041891,-11.69627324,-11.56514757,-10.08566662,-9.82779213,-9.603300835,-9.419395619,-8.497598424,-0.29162517,-0.004843576,0.144708265,0.234428344,1.006265779,1.27529372,1.853072069,2.506543238,2.952324953,0.286781594
c1cc2ccc3c4ccc5ccc6ccc7ccc8c9ccc%10ccc1c%11c%10c9c(c3c2%11)c%12c8c7c6c5c4%12,-12.01203912,-11.66050869,-11.30092645,-10.78458949,-10.35973658,-9.892074249,-9.582493302,-8.797874412,-8.174839129,-1.196587447,-0.500012862,0.084350987,0.312307754,0.647187014,0.944640646,1.852322381,1.97546975,2.687137329,0.696574585
c1cc2ccc3cc4cc5ccc6ccc7ccc8cc9cc%10ccc1c%11c2c3c%12c4c%13c5c6c7c8c%13c9c%12c%10%11,-12.05111479,-11.64204209,-11.54625101,-11.06644666,-11.06276804,-9.955937423,-9.081264034,-8.872512522,-8.841437197,-1.042552175,-0.506058145,0.056906506,0.513893125,0.863383962,1.434404089,1.794912408,2.812254468,3.060831346,0.53649403
c1cc2c3ccc4ccc5c6ccc7ccc8c9ccc1c%10c9c%11c%12c8c7c6c%12c%13c5c4c3c%13c%11c2%10,-11.63629816,-11.47526579,-11.40998041,-10.77781289,-10.5172116,-9.66839879,-9.579171153,-8.776982357,-8.386666569,-0.964930011,-0.555272993,0.059162921,0.148684554,0.754443926,0.926207127,1.504356646,2.398371265,2.540720215,0.409657018
C1Cc2cc3cccc4ccc5ccc1c2c5c34,-11.50916347,-11.43850165,-11.37828035,-10.82296693,-9.82259576,-9.745888657,-9.593451985,-8.690091984,-8.212551403,-1.150639624,-0.687604047,0.063234759,0.177415265,0.189630778,0.905190123,1.393693061,1.597130604,2.419097948,0.463035577
